Wall time,Step,Value
1685545292.0832753,999,22.212051391601562
1685545929.8733282,1999,39.45779800415039
1685546569.5652423,2999,51.26594543457031
1685547212.483597,3999,49.10162353515625
1685547858.1691773,4999,50.37681198120117
1685548502.9807684,5999,54.38530731201172
1685549149.0631943,6999,54.343284606933594
1685549797.3717902,7999,53.809669494628906
1685550444.020642,8999,57.67375183105469
1685551091.6900291,9999,54.06110763549805
1685551739.942833,10999,57.58727264404297
1685552387.683513,11999,57.2020263671875
1685553034.9187255,12999,59.8845100402832
1685553686.2148745,13999,60.643062591552734
1685554334.1936073,14999,57.33222198486328
