Wall time,Step,Value
1685457110.2976708,999,20.427932739257812
1685457713.0628786,1999,37.35149002075195
1685458318.0304344,2999,46.522857666015625
1685458924.8472118,3999,48.998104095458984
1685459537.9632912,4999,50.872928619384766
1685460151.3586354,5999,50.91600036621094
1685460735.98474,6999,50.92206573486328
1685461317.8717926,7999,52.98759460449219
1685461928.8216882,8999,51.63752746582031
1685462541.3257818,9999,54.20614242553711
1685463148.1167097,10999,54.94810485839844
1685463761.316247,11999,53.54171371459961
1685464390.712586,12999,51.74186325073242
1685465029.6068556,13999,57.5651741027832
1685465655.993774,15000,53.09800720214844
